patient,joint,mae_x,mae_y,rmse_x,rmse_y,corr_x,corr_y
TOLFB24,Left_Shoulder,0.05676616666666667,0.011409166666666666,0.06233583333333333,0.013741000000000001,0.5853673333333334,0.051246999999999994
TOLFB24,Left_Wrist,0.21000016666666668,0.08700366666666666,0.273324,0.11536883333333332,0.7490758333333334,0.9437241666666667
TOLFB24,Right_Elbow,0.13881366666666667,0.08246133333333333,0.17099666666666669,0.104097,0.6511378333333333,0.8461996666666667
TOLFB24,Right_Shoulder,0.0388035,0.011934333333333333,0.04554266666666667,0.014242333333333334,0.5503183333333334,0.04498850000000001
TOLFB24,Right_Wrist,0.28620683333333335,0.10875066666666666,0.34324916666666666,0.14578533333333335,0.7355948333333333,0.9067664999999999
TOLFB25,Left_Elbow,0.15971033333333332,0.08726916666666666,0.18435633333333334,0.13020033333333333,0.7035779999999999,0.7858266666666666
TOLFB25,Left_Shoulder,0.027629166666666666,0.012051166666666667,0.033772500000000004,0.014393999999999999,0.6365585,-0.1394655
TOLFB25,Left_Wrist,0.16791683333333332,0.15223633333333333,0.222496,0.29009966666666664,0.7524753333333334,0.7468594999999999
TOLFB25,Right_Elbow,0.16460666666666668,0.10112666666666666,0.19302516666666666,0.14248,0.6484236666666666,0.7653396666666666
TOLFB25,Right_Shoulder,0.03410233333333334,0.011858833333333334,0.03883433333333333,0.014229499999999999,0.5333063333333333,-0.12653333333333333
TOLFB25,Right_Wrist,0.2596793333333333,0.16778016666666665,0.3121771666666667,0.308836,0.6945041666666666,0.7485708333333334
TOLFB26,Left_Elbow,0.16157266666666667,0.10434183333333334,0.19324850000000002,0.13366916666666667,0.4989675,0.6634471666666667
TOLFB26,Left_Shoulder,0.055029666666666664,0.01254,0.06144583333333334,0.014764,0.4996763333333334,0.0691325
TOLFB26,Left_Wrist,0.25400666666666666,0.15504366666666666,0.3069065,0.22933599999999998,0.616377,0.7117815
TOLFB26,Right_Elbow,0.147364,0.1056515,0.18109233333333333,0.14079816666666667,0.5364983333333334,0.6580374999999999
TOLFB26,Right_Shoulder,0.0593735,0.012655833333333333,0.06494933333333335,0.014823666666666666,0.45237616666666663,0.06794316666666667
TOLFB26,Right_Wrist,0.27661416666666666,0.1467335,0.32119733333333333,0.23049116666666666,0.607178,0.7251656666666667
TOLFB27,Left_Elbow,0.14539066666666667,0.08736983333333333,0.19508650000000002,0.16777466666666666,0.6246266666666667,0.665131
TOLFB27,Left_Shoulder,0.04410666666666666,0.010469333333333332,0.05958633333333333,0.012774500000000001,0.39126333333333335,0.13210383333333334
TOLFB27,Left_Wrist,0.2213776666666667,0.15631983333333332,0.31269433333333335,0.3017705,0.6144013333333334,0.7683186666666666
TOLFB27,Right_Elbow,0.10086316666666667,0.096825,0.14092433333333335,0.17408766666666667,0.7113946666666666,0.724941
TOLFB27,Right_Shoulder,0.05764183333333334,0.010766,0.0697865,0.013132333333333334,0.38828633333333334,0.13828916666666666
TOLFB27,Right_Wrist,0.21321366666666666,0.159272,0.3017975,0.31252450000000004,0.574854,0.7851261666666667
TOLFB28,Left_Elbow,0.10823616666666667,0.07143733333333334,0.12952433333333332,0.09976449999999999,0.7311555,0.7849170000000001
TOLFB28,Left_Shoulder,0.024026666666666665,0.010501333333333333,0.029928,0.012664333333333333,0.5189793333333333,0.038801333333333334
TOLFB28,Left_Wrist,0.1856455,0.11004066666666668,0.24966516666666663,0.18289599999999998,0.8072843333333334,0.8760225
TOLFB28,Right_Elbow,0.11187399999999999,0.07877016666666666,0.13749983333333335,0.10349900000000001,0.8205253333333333,0.872289
TOLFB28,Right_Shoulder,0.025260833333333333,0.010314833333333334,0.029877166666666666,0.012510833333333332,0.5524463333333334,0.03606600000000001
TOLFB28,Right_Wrist,0.24193633333333334,0.11137033333333334,0.29950516666666666,0.17816066666666666,0.7160836666666667,0.9033405
